City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
309,Wanaka,NZ,-44.7,169.15,33.12,90,89,8.99,overcast clouds
310,Bantou,CN,26.2151,117.4893,91.33,47,70,1.81,broken clouds
311,Iguape,BR,-24.7081,-47.5553,65.52,93,100,6.33,overcast clouds
312,Provideniya,RU,64.3833,-173.3,37.36,100,75,11.18,broken clouds
313,Pangnirtung,CA,66.1451,-65.7125,32.45,69,98,4.47,overcast clouds
314,Laguna,US,38.421,-121.4238,75.78,64,0,5.75,clear sky
315,Mayenne,FR,48.3333,-0.6667,56.64,98,66,9.17,broken clouds
316,Constitucion,CL,-35.3333,-72.4167,48.33,89,17,6.31,few clouds
317,Waingapu,ID,-9.6567,120.2641,84.69,70,62,11.92,broken clouds
318,Villarrobledo,ES,39.2699,-2.6012,60.78,76,0,12.53,clear sky
319,Yuci,CN,37.6803,112.7319,49.75,62,0,4.47,light rain
320,Tiksi,RU,71.6872,128.8694,22.73,83,100,16.31,overcast clouds
321,Biak,ID,-0.9131,122.8766,83.68,69,55,3.91,broken clouds
322,Shingu,JP,33.7333,135.9833,75.56,81,92,0.76,overcast clouds
323,Fukue,JP,32.6881,128.8419,73.76,68,75,13.8,broken clouds
324,Tura,IN,25.5198,90.2201,82.42,71,93,2.51,overcast clouds
325,Olga,RU,43.7444,135.2892,49.95,27,0,10.67,clear sky
326,Muravlenko,RU,63.7898,74.523,36.79,80,64,14.27,broken clouds
327,Vieques,PR,18.425,-65.8329,82.42,78,20,3.44,few clouds
328,Presidente Epitacio,BR,-21.7633,-52.1156,72.54,66,9,5.08,clear sky
329,Belaya Gora,RU,68.5333,146.4167,24.6,72,96,5.59,overcast clouds
330,Kihei,US,20.785,-156.4656,78.82,86,75,12.66,broken clouds
331,Atocha,BO,-20.9333,-66.2333,35.67,15,0,7.65,clear sky
332,Grand-Lahou,CI,5.1367,-5.0242,75.36,92,92,6.17,overcast clouds
333,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.63,94,100,4.56,light rain
334,Sinnamary,GF,5.3833,-52.95,77.47,87,8,8.41,clear sky
335,Machaneng,BW,-23.1862,27.4886,69.85,69,0,19.84,clear sky
336,Beringovskiy,RU,63.05,179.3167,40.19,96,99,20.38,light rain
337,Ayr,GB,55.4627,-4.6339,53.58,87,40,13.8,light rain
338,Juneau,US,58.3019,-134.4197,56.1,97,100,3.44,light rain
339,Smolyaninovo,RU,43.2956,132.4675,51.26,28,0,9.31,clear sky
